"Iteration"	"Chain"	"Parameter"	"value"
"476"	6	3	"etaU1[23]"	7.54311385267421
"477"	7	3	"etaU1[23]"	8.16667033989865
"478"	8	3	"etaU1[23]"	8.03944683639776
"479"	9	3	"etaU1[23]"	8.40621284850646
"480"	10	3	"etaU1[23]"	7.39159832603719
"481"	1	3	"etaU1[24]"	6.6043353038874
"482"	2	3	"etaU1[24]"	6.19753844564697
"483"	3	3	"etaU1[24]"	6.49419845801985
"484"	4	3	"etaU1[24]"	6.41230062221223
"485"	5	3	"etaU1[24]"	6.31161232611053
"486"	6	3	"etaU1[24]"	6.66676807000292
"487"	7	3	"etaU1[24]"	6.54868985261064
"488"	8	3	"etaU1[24]"	7.11269120890491
"489"	9	3	"etaU1[24]"	6.94311911522598
"490"	10	3	"etaU1[24]"	7.1085314305874
"491"	1	3	"p[1,1]"	0.157376141180362
"492"	2	3	"p[1,1]"	0.0885616460100446
"493"	3	3	"p[1,1]"	0.0257447880428857
"494"	4	3	"p[1,1]"	0.0283994797876464
"495"	5	3	"p[1,1]"	0.269615585711093
"496"	6	3	"p[1,1]"	0.0945181110713963
"497"	7	3	"p[1,1]"	0.120714964291307
"498"	8	3	"p[1,1]"	0.0758386773442185
"499"	9	3	"p[1,1]"	0.100258063040749
"500"	10	3	"p[1,1]"	0.179414014017432
"501"	1	3	"p[1,2]"	0.171321491952161
"502"	2	3	"p[1,2]"	0.140689538451458
"503"	3	3	"p[1,2]"	0.116369047580419
"504"	4	3	"p[1,2]"	0.0261086487692134
"505"	5	3	"p[1,2]"	0.0331760055830215
"506"	6	3	"p[1,2]"	0.0604437413522279
"507"	7	3	"p[1,2]"	0.196957578059738
"508"	8	3	"p[1,2]"	0.0534673016174033
"509"	9	3	"p[1,2]"	0.117227720476595
"510"	10	3	"p[1,2]"	0.0968214477788768
"511"	1	3	"p[1,3]"	0.0971269966682168
"512"	2	3	"p[1,3]"	0.0487595005432641
"513"	3	3	"p[1,3]"	0.0309714517915813
