etaP1[22]      1.230      2.350
etaP1[23]      1.057      1.446
etaP1[24]      2.488      5.043
etaU1[1]       1.086      1.437
etaU1[2]       1.186      1.880
etaU1[3]       1.090      1.447
etaU1[4]       1.237      2.229
etaU1[5]       1.214      1.767
etaU1[6]       1.265      2.084
etaU1[7]       0.988      1.073
etaU1[8]       0.932      0.944
etaU1[9]       1.178      2.045
etaU1[10]      0.969      1.119
etaU1[11]      0.977      1.051
etaU1[12]      1.060      1.466
etaU1[13]      1.031      1.329
etaU1[14]      1.204      1.768
etaU1[15]      1.111      1.560
etaU1[16]      0.961      1.030
etaU1[17]      0.993      1.030
etaU1[18]      0.971      1.098
etaU1[19]      1.107      1.496
etaU1[20]      1.082      1.533
etaU1[21]      0.977      1.142
etaU1[22]      0.927      0.944
etaU1[23]      1.401      3.119
etaU1[24]      1.061      1.389
p[1,1]         1.060      1.379
p[2,1]         1.005      1.244
p[3,1]         1.160      1.798
p[4,1]         0.938      0.974
p[5,1]         1.011      1.220
p[6,1]         1.292      2.207
p[7,1]         1.149      1.852
p[8,1]         1.729      3.853
p[9,1]         1.194      2.348
p[10,1]        1.055      1.399
p[11,1]        1.337      2.247
p[12,1]        0.943      1.001
p[13,1]        1.133      1.544
p[14,1]        1.151      2.240
p[15,1]        1.606      2.937
p[16,1]        1.060      1.466
p[17,1]        0.944      0.993
p[18,1]        1.085      1.496
p[19,1]        1.233      2.249
p[20,1]        0.904      0.928
p[21,1]        1.028      1.283
p[22,1]        0.922      0.970
p[23,1]        1.355      2.505
p[24,1]        1.047      1.368
p[1,2]         1.082      1.424
p[2,2]         1.298      2.382
p[3,2]         1.185      2.009
p[4,2]         1.014      1.271
p[5,2]         1.050      1.350
p[6,2]         1.108      1.649
p[7,2]         0.979      1.110
p[8,2]         1.043      1.396
p[9,2]         0.950      1.061
p[10,2]        0.969      1.129
p[11,2]        1.006      1.210
p[12,2]        1.569      3.193
p[13,2]        1.202      1.960
p[14,2]        0.994      1.109
p[15,2]        1.424      2.220
p[16,2]        1.041      1.164
p[17,2]        1.204      2.409
p[18,2]        1.107      1.583
p[19,2]        0.951      1.068
p[20,2]        1.608      2.600
p[21,2]        1.009      1.197
p[22,2]        1.161      2.000
p[23,2]        1.954      3.945
p[24,2]        1.158      1.745
p[1,3]         1.354      2.522
p[2,3]         2.185      5.416
p[3,3]         1.218      2.071
p[4,3]         0.987      1.129
p[5,3]         1.477      2.683
p[6,3]         1.232      1.863
p[7,3]         0.912      0.915
p[8,3]         0.991      1.140
p[9,3]         1.591      3.103
p[10,3]        1.228      2.050
p[11,3]        0.955      0.993
p[12,3]        1.505      3.140
p[13,3]        1.367      2.126
p[14,3]        1.275      2.036
p[15,3]        1.347      2.883
p[16,3]        0.977      1.069
p[17,3]        0.923      0.931
p[18,3]        1.010      1.029
p[19,3]        1.011      1.225
p[20,3]        0.998      1.140
p[21,3]        1.018      1.241
p[22,3]        0.941      1.046
p[23,3]        0.984      1.149
p[24,3]        1.296      1.939
p[1,4]         1.173      1.811
p[2,4]         1.365      2.136
p[3,4]         1.005      1.224
p[4,4]         1.312      2.182
p[5,4]         1.004      1.147
p[6,4]         1.210      1.782
p[7,4]         0.991      1.152
p[8,4]         0.957      1.079
p[9,4]         0.978      1.154
p[10,4]        1.011      1.231
p[11,4]        1.020      1.281
p[12,4]        1.804      3.282
p[13,4]        1.046      1.360
p[14,4]        1.025      1.282
p[15,4]        1.232      1.865
p[16,4]        0.976      1.109
p[17,4]        1.121      1.521
p[18,4]        1.097      1.471
p[19,4]        0.916      0.957
p[20,4]        0.949      1.054
